ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
CO Eurizon SLJ EM Equity Magnificent 30 UCITS ETF Class A1 GBP Accumulating,Connect ETFs,IE0002TF35X3,GBP,80.00,207.13,GBP,02/07/2026
CO Eurizon SLJ EM Bond Strategic Income UCITS ETF Class A1 GBP Hedged Accumulating,Connect ETFs,IE000356FN00,GBP,50.00,109.60,GBP,02/07/2026
CO Eurizon SLJ EM Bond Strategic Income UCITS ETF Class A USD Accumulating,Connect ETFs,IE000AM06QU6,USD,50.00,109.60,USD,02/07/2026
CO Eurizon SLJ EM Equity Magnificent 30 UCITS ETF Class A1 EUR Accumulating,Connect ETFs,IE000MCQF2X3,EUR,80.00,207.13,EUR,02/07/2026
CO Eurizon SLJ EM Bond Strategic Income UCITS ETF Class A GBP Hedged Distributing,Connect ETFs,IE000U8A7X11,GBP,50.00,109.60,GBP,02/07/2026
CO Eurizon SLJ EM Equity Magnificent 30 UCITS ETF Class A1 USD Accumulating,Connect ETFs,IE000VMDRT50,USD,80.00,207.13,USD,02/07/2026
CO Eurizon SLJ EM Bond Strategic Income UCITS ETF Class A USD Distributing,Connect ETFs,IE000Y36NRJ2,USD,50.00,109.60,USD,02/07/2026
