ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM Raw,Date
Future of Defence UCITS ETF – Acc,HANetf,IE000OJ5TQP4,USD,49.00,3310.98,"$3,310.98",07/07/2026
The Royal Mint Responsibly Sourced Physical Gold ETC,HANetf,XS2115336336,USD,25.00,1459.62,"$1,459.62",07/07/2026
Bitwise Physical Bitcoin ETP,HANetf,DE000A27Z304,USD,200.00,687.84,$687.84,07/07/2026
Lloyd Growth Equity UCITS ETF – Acc,HANetf,IE00068IJAK0,USD,85.00,375.13,$375.13,07/07/2026
Sprott Uranium Miners UCITS ETF – Acc,HANetf,IE0005YK6564,USD,85.00,350.70,$350.70,07/07/2026
Lloyd Focused Equity UCITS ETF – Acc,HANetf,IE000NYVK0R8,USD,85.00,285.17,$285.17,07/07/2026
Future of European Defence Screened UCITS ETF – Acc,HANetf,IE000I7E6HL0,EUR,39.00,170.63,€170.63,07/07/2026
Bitwise Ethereum Staking ETP,HANetf,DE000A3G90G9,USD,65.00,168.07,$168.07,07/07/2026
Bitwise Physical XRP ETP,HANetf,DE000A3GYNB0,USD,195.00,127.72,$127.72,07/07/2026
EMQQ Emerging Markets Internet UCITS ETF – Acc,HANetf,IE00BFYN8Y92,USD,86.00,117.96,$117.96,07/07/2026
HAN-GINS Tech Megatrend Equal Weight UCITS ETF – Acc,HANetf,IE00BDDRF700,USD,59.00,117.54,$117.54,07/07/2026
Middlefield Canadian Enhanced Income UCITS ETF – Dist,HANetf,IE000P1G9TM6,CAD,95.00,117.17,CAD117.17,07/07/2026
Sprott Pure Play Copper Miners UCITS ETF – Acc,HANetf,IE000IQQEL77,USD,59.00,116.82,$116.82,07/07/2026
Bitwise Core Bitcoin ETP,HANetf,DE000A4AER62,USD,5.00,107.76,$107.76,07/07/2026
ODDO BHF US Equity Active UCITS ETF – Acc,HANetf,IE000YR7N5U8,USD,35.00,99.07,$99.07,07/07/2026
The Royal Mint Responsibly Sourced Physical Gold EUR Hedged ETC,HANetf,XS2892963286,EUR,35.00,80.79,€80.79,07/07/2026
SparkChange Physical Carbon EUA ETC,HANetf,XS2353177293,EUR,89.00,72.78,€72.78,07/07/2026
Alerian Midstream Energy Dividend UCITS ETF – Dist,HANetf,IE00BKPTXQ89,USD,49.00,71.89,$71.89,07/07/2026
YieldMax® Big Tech Option Income UCITS ETF – Dist,HANetf,IE000MMRLY96,USD,99.00,68.69,$68.69,07/07/2026
Bitwise Physical Ethereum ETP,HANetf,DE000A3GMKD7,USD,149.00,67.21,$67.21,07/07/2026
Defiance Memory UCITS ETF – Acc,HANetf,IE000CEUZ052,USD,69.00,60.77,$60.77,07/07/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF MXN Hedged – Acc,HANetf,IE000UGM8X46,USD,55.00,60.75,$60.75,07/07/2026
