etf_listing_name,issuer,isin,ccy,ter,aum_m
JPM Europe Equity Premium Income Active UCITS ETF - EUR (dist),J.P. Morgan Asset Management,IE00064TWYK9,EUR,0.35,80.79
JPM Europe Research Enhanced Index Equity Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE00BF4G7183,EUR,0.25,2901.28
JPM Europe Research Enhanced Index Equity Active UCITS ETF - EUR (dist),J.P. Morgan Asset Management,IE000WGK3YY5,EUR,0.25,2901.28
JPM Europe Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE0003UN5CT1,EUR,0.25,23.49
JPM Europe Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR (dist),J.P. Morgan Asset Management,IE000QOLLXO2,EUR,0.25,23.49
JPM Eurozone Research Enhanced Index Equity Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE00004PGEY9,EUR,0.25,530.2
JPM Eurozone Research Enhanced Index Equity Active UCITS ETF - EUR (dist),J.P. Morgan Asset Management,IE000783LRG9,EUR,0.25,530.2
JPM GBP Ultra-Short Income Active UCITS ETF - GBP (acc),J.P. Morgan Asset Management,IE00BG47J908,GBP,0.18,286.34
JPM GBP Ultra-Short Income Active UCITS ETF - GBP (dist),J.P. Morgan Asset Management,IE00BD9MMG79,GBP,0.18,286.34
JPM Global Aggregate Bond Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000PQQLZM7,EUR,0.3,404.27
JPM Global Aggregate Bond Active UCITS ETF - EUR Hedged (dist),J.P. Morgan Asset Management,IE000AGCIYE6,EUR,0.3,404.27
JPM Global Aggregate Bond Active UCITS ETF - GBP Hedged (acc),J.P. Morgan Asset Management,IE0000F1IQZ8,GBP,0.3,404.27
JPM Global Aggregate Bond Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE000TSA6IX6,GBP,0.3,404.27
JPM Global Aggregate Bond Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE0006MM8VN6,USD,0.3,404.27
JPM Global Aggregate Bond Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000LHP8TA1,USD,0.3,404.27
JPM Global Aggregate Bond Active UCITS ETF - USD Hedged (acc),J.P. Morgan Asset Management,IE0003CEOZG5,USD,0.3,404.27
JPM Global Emerging Markets Research Enhanced Index Equity Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE0006SEWKA2,EUR,0.3,2470.21
JPM Global Emerging Markets Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BF4G6Z54,USD,0.3,2470.21
JPM Global Emerging Markets Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000Y4K4833,USD,0.3,2470.21
JPM Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000AV35A01,EUR,0.3,218.69
JPM Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000ANHU3J3,USD,0.3,218.69
JPM Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000CYGD0V1,USD,0.3,218.69
JPM Global Equity Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000MTYM4K8,EUR,0.47,10.07
JPM Global Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000BHH6TY7,EUR,0.47,10.07
JPM Global Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE0009OCO2W4,USD,0.47,10.07
JPM Global Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000245C884,USD,0.47,10.07
JPM Global Equity Multi-Factor UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BJRCLL96,USD,0.19,266.52
JPM Global Equity Multi-Factor UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000A9QKUV7,USD,0.19,266.52
JPM Global Equity Premium Income Active UCITS ETF - EUR (dist),J.P. Morgan Asset Management,IE000AP27VA7,EUR,0.35,1491.47
JPM Global Equity Premium Income Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000WX7BVB0,USD,0.35,1491.47
JPM Global Equity Premium Income Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE0003UVYC20,USD,0.35,1491.47
JPM Global ex US Research Enhanced Index Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE0008DO91F6,EUR,0.25,9.93
JPM Global ex US Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE0006FBEDB6,USD,0.25,9.93
