ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
iMGP Italian Opportunities Fund R EUR UCITS ETF,iM Global Partner,LU3411931689,EUR,100.00,38.80,EUR,01/07/2026
iMGP DBi Managed Futures Fund R EUR HP UCITS ETF,iM Global Partner,LU3359622902,EUR,55.00,553.10,USD,01/07/2026
iMGP DBi Managed Futures Fund R EUR UCITS ETF,iM Global Partner,LU2951555403,EUR,55.00,553.10,USD,01/07/2026
iMGP DBi Managed Futures Fund R USD UCITS ETF,iM Global Partner,LU2951555585,USD,55.00,553.10,USD,01/07/2026
iMGP Sirios Absolute Return Fund R EUR HP PR UCITS ETF,iM Global Partner,LU3334220699,EUR,100.00,8.80,USD,01/07/2026
iMGP DBi Managed Futures ex-Commodities Fund R USD UCITS ETF,iM Global Partner,LU3024069877,USD,55.00,373.10,USD,01/07/2026
iMGP European High Yield Fund R EUR UCITS ETF,iM Global Partner,LU3384730795,EUR,50.00,27.70,EUR,01/07/2026
