ETF Name,Issuer,ISIN,CCY,TER(bps),Partial AUM(M),Total AUM(M),AUM CCY,Date
Avantis America Equity UCITS ETF,American Century Investments,IE000OW54ZX1,USD,20.00,,81.82,USD,2026/07/07
Avantis Emerging Markets Equity UCITS ETF,American Century Investments,IE000K975W13,USD,35.00,,236.64,USD,2026/07/07
Avantis Europe Equity UCITS ETF,American Century Investments,IE000SDFJUU0,USD,25.00,,22.03,USD,2026/07/07
Avantis Global Equity UCITS ETF,American Century Investments,IE000RJECXS5,USD,22.00,,668.00,USD,2026/07/07
Avantis Global Small Cap Value UCITS ETF,American Century Investments,IE0003R87OG3,USD,39.00,,1304.94,USD,2026/07/07
Avantis Pacific Equity UCITS ETF,American Century Investments,IE000T62NEO6,USD,25.00,,11.65,USD,2026/07/07
