ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
L&G USD Corporate Bond Screened UCITS ETF,L&G,IE00BLRPRD67,CHF,9,90.23,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE000YPT5PG3,GBP,38,168.14,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE000ZO4CUT7,EUR,38,195.01,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLCGR455,GBP,35,221.97,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLCGR455,USD,35,221.97,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLCGR455,CHF,35,221.97,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,GBP,35,221.97,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,USD,35,221.97,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,EUR,35,221.97,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE00BLRPRF81,CHF,35,221.97,2026-06-24
L&G Emerging Markets Corporate Bond (USD) Screened UCITS ETF,L&G,IE0007EH5UK6,CHF,38,179.71,2026-06-24
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,GBP,49,531.44,2026-06-24
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,USD,49,531.44,2026-06-24
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,EUR,49,531.44,2026-06-24
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,CHF,49,531.44,2026-06-24
L&G Hydrogen Economy UCITS ETF,L&G,IE00BMYDM794,MXN,49,531.44,2026-06-24
L&G UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM802,GBP,25,72.74,2026-06-24
L&G UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM802,EUR,25,72.74,2026-06-24
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,GBP,40,54.65,2026-06-24
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,USD,40,54.65,2026-06-24
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,EUR,40,54.65,2026-06-24
L&G APAC ex-Japan Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMB35,CHF,40,54.65,2026-06-24
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,GBP,45,62.18,2026-06-24
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,USD,45,62.18,2026-06-24
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,EUR,45,62.18,2026-06-24
L&G Emerging Markets Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDMC42,CHF,45,62.18,2026-06-24
L&G Europe ex-UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM919,EUR,25,305.89,2026-06-24
L&G Europe ex-UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM919,GBP,25,305.89,2026-06-24
L&G Europe ex-UK Quality Dividends Equal Weight UCITS ETF,L&G,IE00BMYDM919,CHF,25,305.89,2026-06-24
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,GBP,49,8.07,2026-06-24
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,USD,49,8.07,2026-06-24
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,EUR,49,8.07,2026-06-24
L&G Digital Payments UCITS ETF,L&G,IE00BF92J153,CHF,49,8.07,2026-06-24
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,GBP,39,700.78,2026-06-24
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,USD,39,700.78,2026-06-24
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,EUR,39,700.78,2026-06-24
L&G India INR Government Bond UCITS ETF,L&G,IE00BL6K6H97,CHF,39,700.78,2026-06-24
L&G India INR Government Bond UCITS ETF,L&G,IE000YSUEJ32,EUR,39,700.78,2026-06-24
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,GBP,49,30.03,2026-06-24
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,USD,49,30.03,2026-06-24
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,EUR,49,30.03,2026-06-24
L&G Cyber Security Innovation UCITS ETF,L&G,IE000ST40PX8,CHF,49,30.03,2026-06-24
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,GBP,39,18.9,2026-06-24
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,USD,39,18.9,2026-06-24
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,EUR,39,18.9,2026-06-24
L&G Metaverse UCITS ETF,L&G,IE0004U3TX15,CHF,39,18.9,2026-06-24
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,GBP,16,104.02,2026-06-24
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,USD,16,104.02,2026-06-24
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,EUR,16,104.02,2026-06-24
L&G Asia Pacific ex Japan ESG Paris Aligned UCITS ETF,L&G,IE000Z9UVQ99,CHF,16,104.02,2026-06-24
L&G Emerging Markets Equity UCITS ETF,L&G,IE000CBYU7J5,EUR,16,152.41,2026-06-24
L&G Emerging Markets Equity UCITS ETF,L&G,IE000CBYU7J5,GBP,16,152.41,2026-06-24
L&G Emerging Markets Equity UCITS ETF,L&G,IE000CBYU7J5,USD,16,152.41,2026-06-24
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE0001UQQ933,USD,45,1698.03,2026-06-24
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE0001UQQ933,EUR,45,1698.03,2026-06-24
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE0001UQQ933,CHF,45,1698.03,2026-06-24
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE000FPWSL69,EUR,45,1698.03,2026-06-24
L&G Gerd Kommer Multifactor Equity UCITS ETF,L&G,IE000FPWSL69,CHF,45,1698.03,2026-06-24
L&G Global Brands UCITS ETF,L&G,IE0007HKA9K1,GBP,39,47.72,2026-06-24
L&G Global Brands UCITS ETF,L&G,IE0007HKA9K1,USD,39,47.72,2026-06-24
