ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
Franklin US Mega Cap 100 UCITS ETF - USD (Acc),Franklin Templeton,IE0008M1R3N4,USD,9.00,131.79,22/06/2026
Franklin FTSE Developed World UCITS ETF,Franklin Templeton,IE000CVOSY02,USD,9.00,21.81,22/06/2026
Franklin S&P 500 Paris Aligned Climate UCITS ETF,Franklin Templeton,IE00BMDPBZ72,USD,7.00,351.64,22/06/2026
Franklin STOXX Europe 600 Paris Aligned Climate UCITS ETF,Franklin Templeton,IE00BMDPBY65,EUR,15.00,34.19,22/06/2026
Franklin U.S. Equity UCITS ETF,Franklin Templeton,IE00BF2B0P08,USD,20.00,76.62,22/06/2026
Franklin FTSE Saudi Arabia UCITS ETF,Franklin Templeton,IE000C7DDDX4,USD,39.00,6.20,22/06/2026
Franklin ClearBridge US Smaller Companies UCITS ETF,Franklin Templeton,IE000XJA2OU4,USD,49.00,5.69,22/06/2026
Franklin Future of Health and Wellness UCITS ETF,Franklin Templeton,IE0003WEWAX4,USD,30.00,2.69,22/06/2026
Franklin S&P World Screened UCITS ETF,Franklin Templeton,IE0006WOV4I9,USD,14.00,14.27,22/06/2026
"Franklin AI, Metaverse and Blockchain UCITS ETF",Franklin Templeton,IE000IM4K4K2,USD,30.00,22.61,22/06/2026
Franklin US Dividend Tilt UCITS ETF - (Acc),Franklin Templeton,IE000HSER094,USD,12.00,5.02,22/06/2026
Franklin US Dividend Tilt UCITS ETF - (Dis),Franklin Templeton,IE000Z4OBQK4,USD,12.00,5.02,22/06/2026
Franklin FTSE Korea UCITS ETF,Franklin Templeton,IE00BHZRR030,USD,9.00,5.27,22/06/2026
Franklin S&P 500 Consumer Discretionary UCITS ETF,Franklin Templeton,IE000PEYL7P5,USD,9.00,2.94,22/06/2026
Franklin FTSE Brazil UCITS ETF,Franklin Templeton,IE00BHZRQY00,USD,19.00,148.26,22/06/2026
