Workbook Provider,ISIN,DistinctISINCount,Status,Latest Provider Hits,Repo File Hit Count,Repo File Samples
American Century Investments,IE000OW54ZX1,6,present_in_latest,American_Century_Investments,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-06-30\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-01\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-02\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-03\american_century_investments_selected_fields.csv
American Century Investments,IE000RJECXS5,6,present_in_latest,American_Century_Investments,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-06-30\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-01\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-02\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-03\american_century_investments_selected_fields.csv
American Century Investments,IE000SDFJUU0,6,present_in_latest,American_Century_Investments,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-06-30\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-01\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-02\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-03\american_century_investments_selected_fields.csv
American Century Investments,IE000T62NEO6,6,present_in_latest,American_Century_Investments,4,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-06-30\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-01\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-02\american_century_investments_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\American_Century_Investments\2026-07-03\american_century_investments_selected_fields.csv
Amundi,LU3307281595,1,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0007052782,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0007056841,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010010827,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010245514,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010261198,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
