ETF Name,Issuer,ISIN,CCY,TER(bps),Partial AUM(M),Total AUM(M),AUM CCY,Date
CT QR Series US Equity Active UCITS ETF Acc USD,Columbia Threadneedle Investments,IE000953I6Z4,USD,20.00,,83.24,USD,07/07/2026
CT QR Series European Equity Active UCITS ETF Inc EUR,Columbia Threadneedle Investments,IE000KXM3O48,EUR,25.00,,51.14,EUR,07/07/2026
CT QR Series Global Equity Active UCITS ETF Acc USD,Columbia Threadneedle Investments,IE000M07S996,USD,25.00,,87.05,USD,07/07/2026
CT QR Series European Equity Active UCITS ETF Acc EUR,Columbia Threadneedle Investments,IE000SA19OL0,EUR,25.00,,51.14,EUR,07/07/2026
CT QR Series US Equity Active UCITS ETF Inc USD,Columbia Threadneedle Investments,IE000SWYZ0D5,USD,20.00,,83.24,USD,07/07/2026
CT QR Series Global Equity Active UCITS ETF Inc USD,Columbia Threadneedle Investments,IE000UL7AOT5,USD,25.00,,87.05,USD,07/07/2026
