ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
Schroder ETFs (ICAV) - Schroder US Equity Active UCITS ETF,Schroders,IE0003OZJ573,USD,20.00,29.31,30/06/2026
Schroder ETFs (ICAV) - Schroder Global Investment Grade Corporate Bond Active UCITS ETF Accumulation GBP Hedged,Schroders,IE000AVUROO8,GBP,28.00,,30/06/2026
Schroder ETFs (ICAV) - Schroder Global Equity Active UCITS ETF Accumulation USD,Schroders,IE000BNLRWE6,USD,25.00,1182.12,30/06/2026
Schroder ETFs (ICAV) - Schroder Global Investment Grade Corporate Bond Active UCITS ETF Accumulation USD,Schroders,IE000FGFJT15,USD,25.00,1394.15,30/06/2026
Schroder ETFs(ICAV) Schroder Global Equity Custom Active UCITS ETF Accumulation USD,Schroders,IE000GML9HQ4,USD,28.00,799.68,30/06/2026
