ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
Dimensional Global ex US Core Equity Market UCITS ETF (Acc.),Dimensional,IE0002YHUWS3,USD,20.00,134.26,USD,03/07/2026
Global Core Equity UCITS ETF (Acc.),Dimensional,IE000EGGFVG6,USD,26.00,1824.83,USD,03/07/2026
Global Targeted Value UCITS ETF (Acc.),Dimensional,IE000S67ID55,USD,44.00,194.79,USD,03/07/2026
Dimensional US Core Equity Market UCITS ETF (Acc.),Dimensional,IE000XKK4AV2,USD,15.00,287.41,USD,03/07/2026
Expat Bulgaria SOFIX UCITS ETF,Expat Asset Management,BG9000011163,EUR,280.00,7.35,EUR,02/07/2026
