ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM Raw,Date
Future of Defence UCITS ETF – Acc,HANetf,IE000OJ5TQP4,USD,49.00,3095.09,"$3,095.09",30/06/2026
The Royal Mint Responsibly Sourced Physical Gold ETC,HANetf,XS2115336336,USD,25.00,1426.54,"$1,426.54",30/06/2026
Bitwise Physical Bitcoin ETP,HANetf,DE000A27Z304,USD,200.00,655.25,$655.25,30/06/2026
Lloyd Growth Equity UCITS ETF – Acc,HANetf,IE00068IJAK0,USD,85.00,373.40,$373.40,30/06/2026
Sprott Uranium Miners UCITS ETF – Acc,HANetf,IE0005YK6564,USD,85.00,346.70,$346.70,30/06/2026
Lloyd Focused Equity UCITS ETF – Acc,HANetf,IE000NYVK0R8,USD,85.00,297.28,$297.28,30/06/2026
Future of European Defence Screened UCITS ETF – Acc,HANetf,IE000I7E6HL0,EUR,39.00,156.85,€156.85,30/06/2026
Bitwise Ethereum Staking ETP,HANetf,DE000A3G90G9,USD,65.00,150.19,$150.19,30/06/2026
Bitwise Physical XRP ETP,HANetf,DE000A3GYNB0,USD,195.00,118.31,$118.31,30/06/2026
Middlefield Canadian Enhanced Income UCITS ETF – Dist,HANetf,IE000P1G9TM6,CAD,95.00,118.28,CAD118.28,30/06/2026
HAN-GINS Tech Megatrend Equal Weight UCITS ETF – Acc,HANetf,IE00BDDRF700,USD,59.00,116.31,$116.31,30/06/2026
Sprott Pure Play Copper Miners UCITS ETF – Acc,HANetf,IE000IQQEL77,USD,59.00,113.40,$113.40,30/06/2026
EMQQ Emerging Markets Internet UCITS ETF – Acc,HANetf,IE00BFYN8Y92,USD,86.00,111.56,$111.56,30/06/2026
Bitwise Core Bitcoin ETP,HANetf,DE000A4AER62,USD,5.00,102.60,$102.60,30/06/2026
ODDO BHF US Equity Active UCITS ETF – Acc,HANetf,IE000YR7N5U8,USD,35.00,98.95,$98.95,30/06/2026
The Royal Mint Responsibly Sourced Physical Gold EUR Hedged ETC,HANetf,XS2892963286,EUR,35.00,78.25,€78.25,30/06/2026
Alerian Midstream Energy Dividend UCITS ETF – Dist,HANetf,IE00BKPTXQ89,USD,49.00,73.34,$73.34,30/06/2026
SparkChange Physical Carbon EUA ETC,HANetf,XS2353177293,EUR,89.00,70.06,€70.06,30/06/2026
YieldMax® Big Tech Option Income UCITS ETF – Dist,HANetf,IE000MMRLY96,USD,99.00,65.00,$65.00,30/06/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF MXN Hedged – Acc,HANetf,IE000UGM8X46,USD,55.00,60.99,$60.99,30/06/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF – Acc,HANetf,IE000RI14ZD9,USD,55.00,60.99,$60.99,30/06/2026
Bitwise Physical Ethereum ETP,HANetf,DE000A3GMKD7,USD,149.00,60.05,$60.05,30/06/2026
Gold Miners Screened UCITS ETF – Acc,HANetf,IE00BNTVVR89,USD,60.00,57.80,$57.80,30/06/2026
Sprott Junior Uranium Miners UCITS ETF – Acc,HANetf,IE00075IVKF9,USD,85.00,57.70,$57.70,30/06/2026
JURY Global High Dividend UCITS ETF – Dist,HANetf,IE0002HWPU75,USD,60.00,56.26,$56.26,30/06/2026
Sprott Physical Uranium ETC,HANetf,XS2937253818,USD,55.00,53.49,$53.49,30/06/2026
Defiance AI & Power Infrastructure UCITS ETF – Acc,HANetf,IE000WUTBLT5,USD,69.00,46.28,$46.28,30/06/2026
The Royal Mint Responsibly Sourced Physical Gold CHF Hedged ETC,HANetf,XS2892962718,,35.00,37.64,₣37.64,30/06/2026
REX Tech Innovation Premium Income UCITS ETF – Dist,HANetf,IE000HF69TA9,USD,65.00,37.22,$37.22,30/06/2026
Saba Capital Investment Trusts UCITS ETF – Acc,HANetf,IE0008RSSHT4,GBP,150.00,35.88,£35.88,30/06/2026
2x Short Bitcoin ETP,HANetf,XS2948761114,SEK,200.00,35.13,SEK 35.13,30/06/2026
Drone UCITS ETF – Acc,HANetf,IE0003XW12I8,USD,69.00,31.38,$31.38,30/06/2026
Amerant Latin American Debt UCITS ETF – Dist,HANetf,IE000Y187J49,USD,85.00,30.89,$30.89,30/06/2026
2x Long Bitcoin ETP,HANetf,XS2937253651,SEK,200.00,27.45,SEK 27.45,30/06/2026
Jupiter Global Government Bond Active UCITS ETF GBP Hedged – Acc,HANetf,IE000U00VD47,USD,30.00,22.65,$22.65,30/06/2026
Jupiter Global Government Bond Active UCITS ETF – Acc,HANetf,IE000GDU4WA8,USD,30.00,22.65,$22.65,30/06/2026
Saturna Al-Kawthar Global Focused Equity UCITS ETF – Acc,HANetf,IE00BMYMHS24,USD,75.00,22.02,$22.02,30/06/2026
US Global Investors Travel UCITS ETF – Acc,HANetf,IE00BMFNW783,USD,69.00,21.96,$21.96,30/06/2026
Kotak Indo-Pacific Defence UCITS ETF – Acc,HANetf,IE000C7EUDG1,USD,59.00,21.37,$21.37,30/06/2026
Goshawk Global Balanced UCITS ETF – Acc,HANetf,IE00BL643144,USD,69.00,21.09,$21.09,30/06/2026
2x Long Ethereum ETP,HANetf,XS2937253735,SEK,200.00,20.41,SEK 20.41,30/06/2026
REX Crypto Equity Income & Growth UCITS ETF – Dist,HANetf,IE0008BA4TY1,USD,65.00,20.06,$20.06,30/06/2026
Jupiter Origin Global Smaller Companies Active UCITS ETF – Acc,HANetf,IE000AN3AFZ1,USD,45.00,19.81,$19.81,30/06/2026
Guinness Sustainable Energy UCITS ETF – Acc,HANetf,IE00BNC1F287,USD,65.00,19.12,$19.12,30/06/2026
