ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,GBP,30,214.17,28/06/2026
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,USD,30,214.17,28/06/2026
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,EUR,30,214.17,28/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,GBP,55,633.48,28/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,USD,55,633.48,28/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,EUR,55,633.48,28/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,CHF,55,633.48,28/06/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,MXN,55,633.48,28/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,EUR,80,1756.76,28/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,GBP,80,1756.76,28/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,USD,80,1756.76,28/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,CHF,80,1756.76,28/06/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,MXN,80,1756.76,28/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,GBP,69,3336.01,28/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,USD,69,3336.01,28/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,EUR,69,3336.01,28/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,CHF,69,3336.01,28/06/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,MXN,69,3336.01,28/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,GBP,49,919.02,28/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,USD,49,919.02,28/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,EUR,49,919.02,28/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,CHF,49,919.02,28/06/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,MXN,49,919.02,28/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,GBP,49,19.8,28/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,USD,49,19.8,28/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,EUR,49,19.8,28/06/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,CHF,49,19.8,28/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,GBP,49,68.26,28/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,USD,49,68.26,28/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,EUR,49,68.26,28/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,CHF,49,68.26,28/06/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,MXN,49,68.26,28/06/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,GBP,30,974.91,28/06/2026
