ETF Name,Issuer,ISIN,CCY,TER(bps),Partial AUM(M),Total AUM(M),AUM CCY,Date
YieldMax® Semiconductor Option Income UCITS ETF – Dist,HANetf,IE000T8QD852,USD,99.00,,14.55,USD,08/07/2026
REX Tech Innovation Income & Growth UCITS ETF – Dist,HANetf,IE000OBK3UE0,USD,65.00,,14.41,USD,08/07/2026
Infrastructure Capital Preferred Income UCITS ETF – Dist,HANetf,IE0008LRGGP4,USD,80.00,,13.62,USD,08/07/2026
KRC Cat Bond UCITS ETF – Acc,HANetf,IE000UWJUW87,USD,128.00,,12.96,USD,08/07/2026
YieldMax® MSTR Option Income Strategy ETC,HANetf,XS3087774306,USD,59.00,,12.80,USD,08/07/2026
Bitwise Physical Solana ETP,HANetf,DE000A3GVKZ1,USD,195.00,,11.53,USD,08/07/2026
INQQ India Internet UCITS ETF – Acc,HANetf,IE000WYTQSF9,USD,86.00,,9.75,USD,08/07/2026
ETC Group Web 3.0 UCITS ETF – Acc,HANetf,IE000KDY10O3,USD,65.00,,9.37,USD,08/07/2026
YieldMax® Future of Defence Option Income UCITS ETF,HANetf,IE000TAA0GK0,USD,99.00,,9.29,USD,08/07/2026
Future of Defence Screened UCITS ETF – Acc,HANetf,IE00041H4WT9,USD,49.00,,6.65,USD,08/07/2026
Performance Trust Total Return Bond UCITS ETF – Acc,HANetf,IE000X5OD4M3,USD,75.00,,4.38,USD,08/07/2026
Bitwise Physical Litecoin ETP,HANetf,DE000A3GN5J9,USD,200.00,,4.20,USD,08/07/2026
YieldMax® Ultra Option Income Strategy ETC,HANetf,XS3218061631,USD,59.00,,2.48,USD,08/07/2026
Nuclear Renaissance UCITS ETF – Acc,HANetf,IE0006WPPA00,USD,85.00,,2.07,USD,08/07/2026
Sprott Silver Miners & Physical Silver UCITS ETF – Acc,HANetf,IE0008WICO06,USD,65.00,,1.87,USD,08/07/2026
Bitwise Physical Cardano ETP,HANetf,DE000A3GVKY4,USD,195.00,,1.44,USD,08/07/2026
Regan Total Return Income UCITS ETF – Acc,HANetf,IE000TD32PU3,USD,75.00,,1.06,USD,08/07/2026
Fundstrat Granny Shots US Large Cap UCITS ETF – Acc,HANetf,IE000OQGOX00,USD,75.00,,1.03,USD,08/07/2026
