ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
FinEx Blockchain UCITS ETF,FinEx,IE000GBF7ZU3,USD,80.00,3.16,25/06/2026
FinEx Emerging Markets ex Chindia UCITS ETF (USD),FinEx,IE0003KBK0Z6,USD,70.00,8.54,25/06/2026
FinEx US REIT UCITS ETF,FinEx,IE0000CHPRB9,USD,60.00,9.62,25/06/2026
FinEx Fallen Angels UCITS ETF (RUB),FinEx,IE000CK9ZWC0,RUB,70.00,899.43,25/06/2026
FinEx Video Gaming and eSports UCITS ETF,FinEx,IE00BNYK7W79,USD,90.00,14.47,25/06/2026
FinEx US TIPS UCITS ETF (RUB),FinEx,IE00096YBNR3,RUB,35.00,1289.94,25/06/2026
FinEx US TIPS UCITS ETF,FinEx,IE00BNYK7X86,USD,25.00,17.25,25/06/2026
FinEx Fallen Angels UCITS ETF,FinEx,IE00BMDKNN44,USD,60.00,12.03,25/06/2026
FinEx Developed  Markets ex US UCITS ETF (USD),FinEx,IE00BMDKNM37,USD,90.00,54.98,25/06/2026
FinEx Gold ETF,FinEx,IE00B8XB7377,USD,45.00,297.29,25/06/2026
FinEx Global Equity UCITS ETF (USD),FinEx,IE00BK224L29,USD,136.00,66.11,25/06/2026
FinEx Global Equity UCITS ETF (RUB),FinEx,IE00BK224M36,RUB,136.00,4943.64,25/06/2026
FinEx Cash Equivalents UCITS ETF (USD),FinEx,IE00BL3DYW26,USD,20.00,89.65,25/06/2026
FinEx Cash Equivalents UCITS ETF (RUB),FinEx,IE00BL3DYX33,RUB,49.00,6703.25,25/06/2026
FinEx Russian RTS Equity UCITS ETF (USD),FinEx,IE00BQ1Y6480,USD,90.00,42.77,25/06/2026
FinEx USA Information Technology UCITS ETF (MiniShares),FinEx,IE00BNC2D728,,,,25/06/2026
FinEx USA Information Technology UCITS ETF,FinEx,IE00BD3QJ757,USD,90.00,490.26,25/06/2026
FinEx USA UCITS ETF,FinEx,IE00BD3QHZ91,USD,90.00,371.00,25/06/2026
FinEx Tradable Russian Corporate Bonds UCITS ETF (USD),FinEx,IE00BD5FH213,,,,25/06/2026
FinEx Germany UCITS ETF,FinEx,IE00BD3QJN10,EUR,90.00,70.76,25/06/2026
FinEx China UCITS ETF,FinEx,IE00BD3QFB18,USD,90.00,173.61,25/06/2026
FinEx FFIN Kazakhstan Equity ETF,FinEx,IE00BG0C3K84,KZT,139.00,8628.16,25/06/2026
