ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
Avantis America Equity UCITS ETF,American Century Investments,IE000OW54ZX1,USD,20.00,80.17,USD,2026/07/03
Avantis Emerging Markets Equity UCITS ETF,American Century Investments,IE000K975W13,USD,35.00,241.65,USD,2026/07/03
Avantis Europe Equity UCITS ETF,American Century Investments,IE000SDFJUU0,USD,25.00,21.91,USD,2026/07/03
Avantis Global Equity UCITS ETF,American Century Investments,IE000RJECXS5,USD,22.00,669.75,USD,2026/07/03
Avantis Global Small Cap Value UCITS ETF,American Century Investments,IE0003R87OG3,USD,39.00,1312.11,USD,2026/07/03
Avantis Pacific Equity UCITS ETF,American Century Investments,IE000T62NEO6,USD,25.00,11.74,USD,2026/07/03
