ETF Name,Issuer,ISIN,CCY,TER(bps),Partial AUM(M),Total AUM(M),AUM CCY,Date
WAHED DOW JONES ISLAMIC WORLD UCITS ETF,Waystone,IE00073MUWT4,USD,49.00,,55.83,USD,07/07/2026
Calamos Autocallable Income UCITS ETF USD Acc,Waystone,IE000DHZXD61,USD,74.00,,3.28,USD,07/07/2026
WAHED S&P 500 SHARIAH UCITS ETF,Waystone,IE000QF8TEK7,USD,49.00,,101.80,USD,07/07/2026
CALAMOS AUTOCALLABLE INCOME UCITS ETF (USD DIS),Waystone,IE000ZDPZL69,USD,74.00,,3.28,USD,07/07/2026
