ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,GBP,49,904.83,USD,07/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,USD,49,904.83,USD,07/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,EUR,49,904.83,USD,07/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,CHF,49,904.83,USD,07/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,MXN,49,904.83,USD,07/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,GBP,49,21.11,USD,07/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,USD,49,21.11,USD,07/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,EUR,49,21.11,USD,07/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,CHF,49,21.11,USD,07/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,GBP,49,71.83,USD,07/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,USD,49,71.83,USD,07/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,EUR,49,71.83,USD,07/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,CHF,49,71.83,USD,07/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,MXN,49,71.83,USD,07/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,GBP,30,987.98,USD,07/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,USD,30,987.98,USD,07/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,EUR,30,987.98,USD,07/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,CHF,30,987.98,USD,07/07/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,GBP,15,398.38,USD,07/07/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,USD,15,398.38,USD,07/07/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,EUR,15,398.38,USD,07/07/2026
L&G DAX Daily 2x Long UCITS ETF,L&G,IE00B4QNHH68,EUR,40,43.22,EUR,07/07/2026
L&G DAX Daily 2x Long UCITS ETF,L&G,IE00B4QNHH68,GBP,40,43.22,EUR,07/07/2026
L&G DAX Daily 2x Short UCITS ETF,L&G,IE00B4QNHZ41,EUR,50,20.82,EUR,07/07/2026
L&G DAX Daily 2x Short UCITS ETF,L&G,IE00B4QNHZ41,GBP,50,20.82,EUR,07/07/2026
L&G FTSE 100 Leveraged (Daily 2x) UCITS ETF,L&G,IE00B4QNJJ23,GBP,50,21.3,GBP,07/07/2026
L&G FTSE 100 Super Short Strategy (Daily 2x) UCITS ETF,L&G,IE00B4QNK008,GBP,60,5.87,GBP,07/07/2026
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,GBP,5,1496.37,USD,07/07/2026
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,USD,5,1496.37,USD,07/07/2026
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,EUR,5,1496.37,USD,07/07/2026
L&G UK Equity UCITS ETF,L&G,IE00BFXR5R48,GBP,5,183,GBP,07/07/2026
L&G UK Equity UCITS ETF,L&G,IE00BFXR5R48,EUR,5,183,GBP,07/07/2026
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,GBP,10,1720.11,USD,07/07/2026
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,USD,10,1720.11,USD,07/07/2026
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,EUR,10,1720.11,USD,07/07/2026
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,GBP,10,883.11,USD,07/07/2026
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,USD,10,883.11,USD,07/07/2026
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,EUR,10,883.11,USD,07/07/2026
