ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
BNP PARIBAS EASY S&P 500 SCORED AND SCREENED UCITS ETF,BNP Paribas Asset Management,IE0000VX9GN7,USD,13.00,888.52,USD,05/07/2026
BNP PARIBAS EASY ESG ENHANCED US UCITS ETF,BNP Paribas Asset Management,IE000130VPV5,USD,21.00,976.11,USD,05/07/2026
BNP PARIBAS EASY ESG ENHANCED WORLD UCITS ETF,BNP Paribas Asset Management,IE000629MKR4,USD,21.00,836.80,USD,05/07/2026
BNP PARIBAS EASY ECPI GLOBAL ESG INFRASTRUCTURE UCITS ETF,BNP Paribas Asset Management,IE0006O3TTP9,USD,31.00,507.53,USD,05/07/2026
BNP PARIBAS EASY FTSE EPRA NAREIT GLOBAL DEVELOPED GREEN CTB UCITS ETF,BNP Paribas Asset Management,IE0007YP0PL1,EUR,41.00,36.05,EUR,05/07/2026
BNP PARIBAS EASY MSCI WORLD MIN TE UCITS ETF,BNP Paribas Asset Management,IE0008FB2WZ1,USD,16.00,1232.99,USD,05/07/2026
BNP PARIBAS EASY ALPHA ENHANCED WORLD UCITS ETF,BNP Paribas Asset Management,IE0009WYJCP8,USD,,44.74,USD,05/07/2026
BNP PARIBAS EASY MSCI WORLD EQUAL WEIGHT SELECT UCITS ETF,BNP Paribas Asset Management,IE000ALI2E45,USD,,71.08,USD,05/07/2026
BNP PARIBAS EASY ALPHA ENHANCED US UCITS ETF,BNP Paribas Asset Management,IE000V3AQGW3,USD,,42.88,USD,05/07/2026
BNP PARIBAS EASY MSCI ACWI MIN TE UCITS ETF,BNP Paribas Asset Management,IE000WQ5O293,USD,22.00,88.60,USD,05/07/2026
BNP PARIBAS EASY ESG ENHANCED JAPAN UCITS ETF,BNP Paribas Asset Management,IE000YARBD10,EUR,20.00,401.86,EUR,05/07/2026
BNP PARIBAS EASY MSCI USA SMALL CAP MIN TE UCITS ETF,BNP Paribas Asset Management,IE000ZME9TM4,USD,,111.28,USD,05/07/2026
BNP PARIBAS EASY MSCI EMERGING MIN TE,BNP Paribas Asset Management,LU1291097779,EUR,27.00,3848.58,EUR,05/07/2026
BNP PARIBAS EASY MSCI EMU MIN TE,BNP Paribas Asset Management,LU1291098827,EUR,15.00,1980.12,EUR,05/07/2026
BNP PARIBAS EASY MSCI EUROPE MIN TE,BNP Paribas Asset Management,LU1291099718,EUR,15.00,3988.77,EUR,05/07/2026
BNP PARIBAS EASY MSCI USA MIN TE,BNP Paribas Asset Management,LU1291104575,EUR,15.00,1584.27,EUR,05/07/2026
BNP PARIBAS EASY MSCI PACIFIC EX JAPAN MIN TE,BNP Paribas Asset Management,LU1291106356,EUR,15.00,517.87,EUR,05/07/2026
BNP PARIBAS EASY LOW CARBON 100 EUROPE PAB,BNP Paribas Asset Management,LU1377382368,EUR,30.00,467.50,EUR,05/07/2026
BNP PARIBAS EASY JPM SCREENED EMBI GLOBAL DIVERSIFIED COMPOSITE,BNP Paribas Asset Management,LU1547515053,USD,25.00,1294.98,USD,05/07/2026
BNP PARIBAS EASY MSCI WORLD SRI PAB,BNP Paribas Asset Management,LU1615092217,EUR,25.00,1580.77,EUR,05/07/2026
BNP PARIBAS EASY MSCI CHINA MIN TE,BNP Paribas Asset Management,LU2314312922,USD,26.00,135.70,USD,05/07/2026
BNP PARIBAS EASY EUR CORP BOND SRI FOSSIL FREE ULTRASHORT DURATION,BNP Paribas Asset Management,LU2533812058,EUR,10.00,141.12,EUR,05/07/2026
BNP PARIBAS EASY ECPI GLOBAL ESG HYDROGEN ECONOMY,BNP Paribas Asset Management,LU2533813023,USD,30.00,19.88,USD,05/07/2026
BNP PARIBAS EASY ECPI GLOBAL ESG BLUE ECONOMY,BNP Paribas Asset Management,LU2533813296,USD,30.00,101.50,USD,05/07/2026
BNP PARIBAS EASY USD CORP BOND SRI FOSSIL FREE,BNP Paribas Asset Management,LU2616774076,USD,20.00,65.55,USD,05/07/2026
BNP PARIBAS EASY ESG ENHANCED EUR CORP BOND,BNP Paribas Asset Management,LU2697596745,EUR,,99.81,EUR,05/07/2026
BNP PARIBAS EASY ESG ENHANCED EUR GOVERNMENT BOND,BNP Paribas Asset Management,LU2697597552,EUR,12.00,177.26,EUR,05/07/2026
BNP PARIBAS EASY EUR CORP BOND SRI PAB 7-10Y,BNP Paribas Asset Management,LU2742532828,EUR,15.00,37.99,EUR,05/07/2026
BNP PARIBAS EASY JPM TILTED EMU GOVERNMENT BOND IG 10Y+,BNP Paribas Asset Management,LU2742533636,EUR,15.00,43.25,EUR,05/07/2026
BNP PARIBAS EASY MSCI JAPAN MIN TE,BNP Paribas Asset Management,LU2800573128,USD,15.00,2692.97,USD,05/07/2026
BNP PARIBAS EASY ESG ENHANCED EUR CORP BOND DECEMBER 2032,BNP Paribas Asset Management,LU2823895847,EUR,12.00,45.85,EUR,05/07/2026
BNP PARIBAS EASY JPM SCREENED EMBI GLOBAL DIVERSIFIED COMPOSITE,BNP Paribas Asset Management,LU2868144093,GBP,25.00,1294.98,GBP,05/07/2026
BNP PARIBAS EASY S&P 500 II,BNP Paribas Asset Management,LU2993390504,USD,,4055.68,USD,05/07/2026
BNP PARIBAS EASY ALPHA ENHANCED EUR CORP BOND,BNP Paribas Asset Management,LU2993394241,EUR,,88.20,EUR,05/07/2026
BNP PARIBAS EASY ALPHA ENHANCED USD CORP BOND,BNP Paribas Asset Management,LU2993397939,USD,,250.56,USD,05/07/2026
BNP PARIBAS EASY ALPHA ENHANCED GLOBAL HIGH YIELD,BNP Paribas Asset Management,LU2993401392,USD,,51.87,USD,05/07/2026
BNP PARIBAS EASY ALPHA ENHANCED EUROPE,BNP Paribas Asset Management,LU2993402101,EUR,13.00,59.02,EUR,05/07/2026
BNP PARIBAS EASY EUR OVERNIGHT,BNP Paribas Asset Management,LU3025345516,EUR,,1758.00,EUR,05/07/2026
BNP PARIBAS EASY BLOOMBERG EUROPE DEFENSE,BNP Paribas Asset Management,LU3047998896,EUR,35.11,579.22,EUR,05/07/2026
BNP PARIBAS EASY MSCI JAPAN MIN TE,BNP Paribas Asset Management,LU3125583602,GBP,15.00,2692.97,GBP,05/07/2026
