ETF Name,Issuer,ISIN,CCY,TER(bps),Partial AUM(M),Total AUM(M),AUM CCY,Date
OSSIAM EUROPE ESG MACHINE LEARNING,Ossiam,LU0599612842,EUR,65.00,,64.30,EUR,08/07/2026
OSSIAM SHILLER BARCLAYS CAPE® EUROPE SECTOR VALUE TR,Ossiam,LU1079842321,EUR,65.00,,151.10,EUR,08/07/2026
OSSIAM STOXX® EUROPE 600 ESG EQUAL WEIGHT NR,Ossiam,LU0599613147,EUR,30.00,,193.80,EUR,08/07/2026
OSSIAM SHILLER BARCLAYS CAPE® US SECTOR VALUE TR,Ossiam,LU1079841513,USD,65.00,,3.00,USD,08/07/2026
OSSIAM BLOOMBERG EUROPE EX EUROZONE PAB NR,Ossiam,LU1655103486,EUR,17.00,,233.10,EUR,08/07/2026
OSSIAM BLOOMBERG JAPAN PAB NR,Ossiam,LU1655103643,EUR,19.00,,70.60,EUR,08/07/2026
OSSIAM BLOOMBERG JAPAN PAB NR,Ossiam,LU1655103726,EUR,25.00,,70.60,EUR,08/07/2026
OSSIAM ESG LOW CARBON SHILLER BARCLAYS CAPE® US SECTOR UCITS ETF,Ossiam,IE00BF92LR56,USD,75.00,,8.20,USD,08/07/2026
OSSIAM ESG LOW CARBON SHILLER BARCLAYS CAPE® US SECTOR UCITS ETF,Ossiam,IE00BF92LV92,EUR,75.00,,8.20,EUR,08/07/2026
OSSIAM BLOOMBERG EUROZONE PAB NR,Ossiam,LU1847674733,EUR,17.00,,238.00,EUR,08/07/2026
OSSIAM BLOOMBERG USA PAB UCITS ETF,Ossiam,IE000IIED424,EUR,12.00,,437.30,EUR,08/07/2026
OSSIAM BLOOMBERG CANADA PAB UCITS ETF,Ossiam,IE0006QX3Y11,EUR,29.00,,22.10,EUR,08/07/2026
OSSIAM BLOOMBERG ASIA PACIFIC EX JAPAN PAB NR,Ossiam,LU2491210618,EUR,29.00,,235.10,EUR,08/07/2026
OSSIAM SHILLER BARCLAYS CAPE® GLOBAL SECTOR VALUE,Ossiam,LU2555926372,USD,65.00,,18.50,USD,08/07/2026
OSSIAM SHILLER BARCLAYS CAPE® GLOBAL SECTOR VALUE,Ossiam,LU2555926455,EUR,65.00,,18.50,EUR,08/07/2026
