ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,GBP,30,211.76,GBP,05/07/2026
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,USD,30,211.76,USD,05/07/2026
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,EUR,30,211.76,EUR,05/07/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,GBP,55,660.4,GBP,05/07/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,USD,55,660.4,USD,05/07/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,EUR,55,660.4,EUR,05/07/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,CHF,55,660.4,CHF,05/07/2026
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,MXN,55,660.4,MXN,05/07/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,EUR,80,1762.14,EUR,05/07/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,GBP,80,1762.14,GBP,05/07/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,USD,80,1762.14,USD,05/07/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,CHF,80,1762.14,CHF,05/07/2026
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,MXN,80,1762.14,MXN,05/07/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,GBP,69,3658.59,GBP,05/07/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,USD,69,3658.59,USD,05/07/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,EUR,69,3658.59,EUR,05/07/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,CHF,69,3658.59,CHF,05/07/2026
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,MXN,69,3658.59,MXN,05/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,GBP,49,891.02,GBP,05/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,USD,49,891.02,USD,05/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,EUR,49,891.02,EUR,05/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,CHF,49,891.02,CHF,05/07/2026
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,MXN,49,891.02,MXN,05/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,GBP,49,20.96,GBP,05/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,USD,49,20.96,USD,05/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,EUR,49,20.96,EUR,05/07/2026
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,CHF,49,20.96,CHF,05/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,GBP,49,71.17,GBP,05/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,USD,49,71.17,USD,05/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,EUR,49,71.17,EUR,05/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,CHF,49,71.17,CHF,05/07/2026
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,MXN,49,71.17,MXN,05/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,GBP,30,968.95,GBP,05/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,USD,30,968.95,USD,05/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,EUR,30,968.95,EUR,05/07/2026
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,CHF,30,968.95,CHF,05/07/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,GBP,15,390.14,GBP,05/07/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,USD,15,390.14,USD,05/07/2026
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,EUR,15,390.14,EUR,05/07/2026
L&G DAX Daily 2x Long UCITS ETF,L&G,IE00B4QNHH68,EUR,40,42.45,EUR,05/07/2026
