ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM Raw,Date
Future of Defence UCITS ETF – Acc,HANetf,IE000OJ5TQP4,USD,49.00,3262.91,"$3,262.91",03/07/2026
The Royal Mint Responsibly Sourced Physical Gold ETC,HANetf,XS2115336336,USD,25.00,1457.94,"$1,457.94",03/07/2026
Bitwise Physical Bitcoin ETP,HANetf,DE000A27Z304,USD,200.00,679.92,$679.92,03/07/2026
Lloyd Growth Equity UCITS ETF – Acc,HANetf,IE00068IJAK0,USD,85.00,372.33,$372.33,03/07/2026
Sprott Uranium Miners UCITS ETF – Acc,HANetf,IE0005YK6564,USD,85.00,350.15,$350.15,03/07/2026
Lloyd Focused Equity UCITS ETF – Acc,HANetf,IE000NYVK0R8,USD,85.00,290.23,$290.23,03/07/2026
Future of European Defence Screened UCITS ETF – Acc,HANetf,IE000I7E6HL0,EUR,39.00,167.98,€167.98,03/07/2026
Bitwise Ethereum Staking ETP,HANetf,DE000A3G90G9,USD,65.00,163.71,$163.71,03/07/2026
Bitwise Physical XRP ETP,HANetf,DE000A3GYNB0,USD,195.00,123.57,$123.57,03/07/2026
Middlefield Canadian Enhanced Income UCITS ETF – Dist,HANetf,IE000P1G9TM6,CAD,95.00,118.32,CAD118.32,03/07/2026
Sprott Pure Play Copper Miners UCITS ETF – Acc,HANetf,IE000IQQEL77,USD,59.00,115.66,$115.66,03/07/2026
EMQQ Emerging Markets Internet UCITS ETF – Acc,HANetf,IE00BFYN8Y92,USD,86.00,115.60,$115.60,03/07/2026
HAN-GINS Tech Megatrend Equal Weight UCITS ETF – Acc,HANetf,IE00BDDRF700,USD,59.00,115.47,$115.47,03/07/2026
Bitwise Core Bitcoin ETP,HANetf,DE000A4AER62,USD,5.00,107.35,$107.35,03/07/2026
ODDO BHF US Equity Active UCITS ETF – Acc,HANetf,IE000YR7N5U8,USD,35.00,98.18,$98.18,03/07/2026
The Royal Mint Responsibly Sourced Physical Gold EUR Hedged ETC,HANetf,XS2892963286,EUR,35.00,80.21,€80.21,03/07/2026
Alerian Midstream Energy Dividend UCITS ETF – Dist,HANetf,IE00BKPTXQ89,USD,49.00,72.11,$72.11,03/07/2026
SparkChange Physical Carbon EUA ETC,HANetf,XS2353177293,EUR,89.00,70.68,€70.68,03/07/2026
YieldMax® Big Tech Option Income UCITS ETF – Dist,HANetf,IE000MMRLY96,USD,99.00,65.81,$65.81,03/07/2026
Bitwise Physical Ethereum ETP,HANetf,DE000A3GMKD7,USD,149.00,64.81,$64.81,03/07/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF MXN Hedged – Acc,HANetf,IE000UGM8X46,USD,55.00,60.72,$60.72,03/07/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF – Acc,HANetf,IE000RI14ZD9,USD,55.00,60.72,$60.72,03/07/2026
Gold Miners Screened UCITS ETF – Acc,HANetf,IE00BNTVVR89,USD,60.00,59.60,$59.60,03/07/2026
Sprott Junior Uranium Miners UCITS ETF – Acc,HANetf,IE00075IVKF9,USD,85.00,58.51,$58.51,03/07/2026
JURY Global High Dividend UCITS ETF – Dist,HANetf,IE0002HWPU75,USD,60.00,57.11,$57.11,03/07/2026
Sprott Physical Uranium ETC,HANetf,XS2937253818,USD,55.00,56.68,$56.68,03/07/2026
Defiance AI & Power Infrastructure UCITS ETF – Acc,HANetf,IE000WUTBLT5,USD,69.00,45.32,$45.32,03/07/2026
Defiance Memory UCITS ETF – Acc,HANetf,IE000CEUZ052,USD,69.00,38.97,$38.97,03/07/2026
The Royal Mint Responsibly Sourced Physical Gold CHF Hedged ETC,HANetf,XS2892962718,,35.00,38.57,₣38.57,03/07/2026
Saba Capital Investment Trusts UCITS ETF – Acc,HANetf,IE0008RSSHT4,GBP,150.00,37.40,£37.40,03/07/2026
REX Tech Innovation Premium Income UCITS ETF – Dist,HANetf,IE000HF69TA9,USD,65.00,37.30,$37.30,03/07/2026
Defiance Drone UCITS ETF – Acc,HANetf,IE0003XW12I8,USD,69.00,35.16,$35.16,03/07/2026
2x Short Bitcoin ETP,HANetf,XS2948761114,SEK,200.00,33.30,SEK 33.30,03/07/2026
Amerant Latin American Debt UCITS ETF – Dist,HANetf,IE000Y187J49,USD,85.00,30.87,$30.87,03/07/2026
2x Long Bitcoin ETP,HANetf,XS2937253651,SEK,200.00,28.14,SEK 28.14,03/07/2026
Jupiter Global Government Bond Active UCITS ETF GBP Hedged – Acc,HANetf,IE000U00VD47,USD,30.00,22.52,$22.52,03/07/2026
Jupiter Global Government Bond Active UCITS ETF – Acc,HANetf,IE000GDU4WA8,USD,30.00,22.52,$22.52,03/07/2026
Saturna Al-Kawthar Global Focused Equity UCITS ETF – Acc,HANetf,IE00BMYMHS24,USD,75.00,22.08,$22.08,03/07/2026
2x Long Ethereum ETP,HANetf,XS2937253735,SEK,200.00,22.04,SEK 22.04,03/07/2026
Kotak Indo-Pacific Defence UCITS ETF – Acc,HANetf,IE000C7EUDG1,USD,59.00,21.92,$21.92,03/07/2026
US Global Investors Travel UCITS ETF – Acc,HANetf,IE00BMFNW783,USD,69.00,21.77,$21.77,03/07/2026
Goshawk Global Balanced UCITS ETF – Acc,HANetf,IE00BL643144,USD,69.00,21.38,$21.38,03/07/2026
REX Crypto Equity Income & Growth UCITS ETF – Dist,HANetf,IE0008BA4TY1,USD,65.00,20.39,$20.39,03/07/2026
Jupiter Origin Global Smaller Companies Active UCITS ETF – Acc,HANetf,IE000AN3AFZ1,USD,45.00,19.76,$19.76,03/07/2026
Guinness Sustainable Energy UCITS ETF – Acc,HANetf,IE00BNC1F287,USD,65.00,18.89,$18.89,03/07/2026
Bitwise MSCI Digital Assets Select 20 ETP,HANetf,DE000A3G3ZL3,USD,85.00,15.82,$15.82,03/07/2026
Making Europe Great Again UCITS ETF – Acc,HANetf,IE0007WMHDE3,EUR,60.00,15.60,€15.60,03/07/2026
Defiance Ukraine Reconstruction UCITS ETF – Acc,HANetf,IE000R8PO127,EUR,65.00,15.48,€15.48,03/07/2026
Harbor Health Care UCITS ETF – Acc,HANetf,IE00BJQTJ848,USD,89.00,15.44,$15.44,03/07/2026
The Royal Mint Responsibly Sourced Physical Gold GBP Hedged ETC,HANetf,XS2892961827,GBP,35.00,14.79,£14.79,03/07/2026
REX Tech Innovation Income & Growth UCITS ETF – Dist,HANetf,IE000OBK3UE0,USD,65.00,14.36,$14.36,03/07/2026
YieldMax® Semiconductor Option Income UCITS ETF – Dist,HANetf,IE000T8QD852,USD,99.00,13.63,$13.63,03/07/2026
Infrastructure Capital Preferred Income UCITS ETF – Dist,HANetf,IE0008LRGGP4,USD,80.00,13.57,$13.57,03/07/2026
YieldMax® MSTR Option Income Strategy ETC,HANetf,XS3087774306,USD,59.00,13.41,$13.41,03/07/2026
KRC Cat Bond UCITS ETF – Acc,HANetf,IE000UWJUW87,USD,128.00,12.94,$12.94,03/07/2026
Bitwise Physical Solana ETP,HANetf,DE000A3GVKZ1,USD,195.00,11.35,$11.35,03/07/2026
INQQ India Internet UCITS ETF – Acc,HANetf,IE000WYTQSF9,USD,86.00,9.60,$9.60,03/07/2026
ETC Group Web 3.0 UCITS ETF – Acc,HANetf,IE000KDY10O3,USD,65.00,9.46,$9.46,03/07/2026
YieldMax® Future of Defence Option Income UCITS ETF,HANetf,IE000TAA0GK0,USD,99.00,9.36,$9.36,03/07/2026
Future of Defence Screened UCITS ETF – Acc,HANetf,IE00041H4WT9,USD,49.00,6.70,$6.70,03/07/2026
Performance Trust Total Return Bond UCITS ETF – Acc,HANetf,IE000X5OD4M3,USD,75.00,4.39,$4.39,03/07/2026
Bitwise Physical Litecoin ETP,HANetf,DE000A3GN5J9,USD,200.00,4.13,$4.13,03/07/2026
YieldMax® Ultra Option Income Strategy ETC,HANetf,XS3218061631,USD,59.00,2.48,$2.48,03/07/2026
Nuclear Renaissance UCITS ETF – Acc,HANetf,IE0006WPPA00,USD,85.00,2.11,$2.11,03/07/2026
Sprott Silver Miners & Physical Silver UCITS ETF – Acc,HANetf,IE0008WICO06,USD,65.00,1.87,$1.87,03/07/2026
Bitwise Physical Cardano ETP,HANetf,DE000A3GVKY4,USD,195.00,1.15,$1.15,03/07/2026
Regan Total Return Income UCITS ETF – Acc,HANetf,IE000TD32PU3,USD,75.00,1.06,$1.06,03/07/2026
Fundstrat Granny Shots US Large Cap UCITS ETF – Acc,HANetf,IE000OQGOX00,USD,75.00,1.03,$1.03,03/07/2026
