ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
,Janus Henderson,IE0002P9KZW1,,,,,07/07/2026
Janus Henderson US Short Duration High Yield Active Core UCITS ETF USD Acc.,Janus Henderson,IE0007W7MZL0,USD,49.00,9.00,EUR,07/07/2026
Janus Henderson USD Mortgage-Backed Securities Active Core UCITS ETF GBP-Hedged Dist.,Janus Henderson,IE0008B0OAD5,GBP,35.00,0.00,EUR,07/07/2026
Janus Henderson US Short Duration High Yield Active Core UCITS ETF GBP Hedged Dist,Janus Henderson,IE0008C3G0Y9,GBP,54.00,0.00,EUR,07/07/2026
Janus Henderson US Transformational Growth High Conviction Equity UCITS ETF USD Acc.,Janus Henderson,IE0009ZTL4B5,USD,49.00,3.00,EUR,07/07/2026
Janus Henderson Japan High Conviction Equity UCITS ETF JPY Acc.,Janus Henderson,IE000CV0WWL4,JPY,49.00,6.00,EUR,07/07/2026
Janus Henderson Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF GBP-Hedged Acc.,Janus Henderson,IE000GETKIK8,GBP,65.00,,EUR,07/07/2026
Janus Henderson Mexico Government Bond USD 10-30Y Core UCITS ETF USD Acc,Janus Henderson,IE000J8RGOJ4,USD,20.00,1.00,EUR,07/07/2026
Janus Henderson Fallen Angels Bond ESG Active Core UCITS ETF USD Acc.,Janus Henderson,IE000JL9SV51,USD,49.00,1.00,EUR,07/07/2026
Janus Henderson GCC Sovereign USD Bond Core UCITS ETF USD Acc.,Janus Henderson,IE000L1I4R94,USD,45.00,3.00,EUR,07/07/2026
Janus Henderson GCC Sovereign USD Bond Core UCITS ETF GBP-Hedged Dist.,Janus Henderson,IE000LJG9WK1,GBP,50.00,1.00,EUR,07/07/2026
Janus Henderson Fallen Angels Bond ESG Active Core UCITS ETF GBP-Hedged Dist.,Janus Henderson,IE000LSFKN16,GBP,54.00,8.00,EUR,07/07/2026
Janus Henderson Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF USD Acc.,Janus Henderson,IE000LZC9NM0,USD,60.00,,EUR,07/07/2026
Janus Henderson EUR Ultrashort IG Bond Paris-aligned Climate Core UCITS ETF GBP Hedged Acc,Janus Henderson,IE000P7C7930,GBP,18.00,1.00,EUR,07/07/2026
Janus Henderson USD Mortgage-Backed Securities Active Core UCITS ETF USD Dist,Janus Henderson,IE000RH1ZG27,USD,35.00,0.00,EUR,07/07/2026
Janus Henderson Haitong Asia ex-Japan High Yield Corp USD Bond Screened Core UCITS ETF GBP-Hedged Dist,Janus Henderson,IE000XIITCN5,GBP,65.00,,EUR,07/07/2026
Janus Henderson Global Research-Engineered Equity Active Core UCITS ETF USD (Acc),Janus Henderson,IE000Y3FZEN4,USD,30.00,5.00,EUR,07/07/2026
Janus Henderson USD Mortgage-Backed Securities Active Core UCITS ETF USD Acc,Janus Henderson,IE000YMBL844,USD,35.00,29.00,EUR,07/07/2026
Janus Henderson US Enhanced Inflation Core UCITS ETF,Janus Henderson,IE00BMDWWS85,USD,29.00,2.00,EUR,07/07/2026
Janus Henderson US Enhanced Inflation Core UCITS ETF GBP-Hedged Acc.,Janus Henderson,IE00BN0T9H70,GBP,34.00,3.00,EUR,07/07/2026
Janus Henderson EUR AAA CLO Active Core UCITS ETF EUR Acc.,Janus Henderson,LU2941599081,EUR,25.00,,EUR,07/07/2026
Janus Henderson EUR AAA CLO Active Core UCITS ETF USD-Hedged Acc.,Janus Henderson,LU2941599248,USD,25.00,,EUR,07/07/2026
Janus Henderson EUR AAA CLO Active Core UCITS ETF GBP-Hedged Dist.,Janus Henderson,LU2941599834,GBP,25.00,,EUR,07/07/2026
Janus Henderson USD AAA CLO Active Core UCITS ETF USD Acc,Janus Henderson,LU2994520851,USD,25.00,,EUR,07/07/2026
Janus Henderson USD AAA CLO Active Core UCITS ETF USD Dist.,Janus Henderson,LU2994520935,USD,25.00,,EUR,07/07/2026
Janus Henderson USD AAA CLO Active Core UCITS ETF GBP-Hedged Dist.,Janus Henderson,LU2994521669,GBP,25.00,,EUR,07/07/2026
