ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM Raw,Date
Future of Defence UCITS ETF – Acc,HANetf,IE000OJ5TQP4,USD,49.00,3266.19,"$3,266.19",06/07/2026
The Royal Mint Responsibly Sourced Physical Gold ETC,HANetf,XS2115336336,USD,25.00,1468.22,"$1,468.22",06/07/2026
Bitwise Physical Bitcoin ETP,HANetf,DE000A27Z304,USD,200.00,687.08,$687.08,06/07/2026
Lloyd Growth Equity UCITS ETF – Acc,HANetf,IE00068IJAK0,USD,85.00,372.80,$372.80,06/07/2026
Sprott Uranium Miners UCITS ETF – Acc,HANetf,IE0005YK6564,USD,85.00,352.63,$352.63,06/07/2026
Lloyd Focused Equity UCITS ETF – Acc,HANetf,IE000NYVK0R8,USD,85.00,284.70,$284.70,06/07/2026
Future of European Defence Screened UCITS ETF – Acc,HANetf,IE000I7E6HL0,EUR,39.00,168.57,€168.57,06/07/2026
Bitwise Ethereum Staking ETP,HANetf,DE000A3G90G9,USD,65.00,166.73,$166.73,06/07/2026
Bitwise Physical XRP ETP,HANetf,DE000A3GYNB0,USD,195.00,126.68,$126.68,06/07/2026
Middlefield Canadian Enhanced Income UCITS ETF – Dist,HANetf,IE000P1G9TM6,CAD,95.00,117.68,CAD117.68,06/07/2026
Sprott Pure Play Copper Miners UCITS ETF – Acc,HANetf,IE000IQQEL77,USD,59.00,117.45,$117.45,06/07/2026
EMQQ Emerging Markets Internet UCITS ETF – Acc,HANetf,IE00BFYN8Y92,USD,86.00,115.98,$115.98,06/07/2026
HAN-GINS Tech Megatrend Equal Weight UCITS ETF – Acc,HANetf,IE00BDDRF700,USD,59.00,115.74,$115.74,06/07/2026
Bitwise Core Bitcoin ETP,HANetf,DE000A4AER62,USD,5.00,107.73,$107.73,06/07/2026
ODDO BHF US Equity Active UCITS ETF – Acc,HANetf,IE000YR7N5U8,USD,35.00,98.18,$98.18,06/07/2026
The Royal Mint Responsibly Sourced Physical Gold EUR Hedged ETC,HANetf,XS2892963286,EUR,35.00,80.89,€80.89,06/07/2026
Alerian Midstream Energy Dividend UCITS ETF – Dist,HANetf,IE00BKPTXQ89,USD,49.00,72.28,$72.28,06/07/2026
SparkChange Physical Carbon EUA ETC,HANetf,XS2353177293,EUR,89.00,71.71,€71.71,06/07/2026
