ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
BNP PARIBAS EASY S&P 500 SCORED AND SCREENED UCITS ETF,BNP Paribas Asset Management,IE0000VX9GN7,USD,13.00,892.24,USD,30/06/2026
BNP PARIBAS EASY ESG ENHANCED US UCITS ETF,BNP Paribas Asset Management,IE000130VPV5,USD,21.00,952.87,USD,30/06/2026
BNP PARIBAS EASY ESG ENHANCED WORLD UCITS ETF,BNP Paribas Asset Management,IE000629MKR4,USD,21.00,844.55,USD,30/06/2026
BNP PARIBAS EASY ECPI GLOBAL ESG INFRASTRUCTURE UCITS ETF,BNP Paribas Asset Management,IE0006O3TTP9,USD,31.00,511.08,USD,30/06/2026
BNP PARIBAS EASY FTSE EPRA NAREIT GLOBAL DEVELOPED GREEN CTB UCITS ETF,BNP Paribas Asset Management,IE0007YP0PL1,EUR,41.00,36.02,EUR,30/06/2026
BNP PARIBAS EASY MSCI WORLD MIN TE UCITS ETF,BNP Paribas Asset Management,IE0008FB2WZ1,USD,16.00,1224.85,USD,30/06/2026
BNP PARIBAS EASY ALPHA ENHANCED WORLD UCITS ETF,BNP Paribas Asset Management,IE0009WYJCP8,USD,,44.34,USD,30/06/2026
BNP PARIBAS EASY MSCI WORLD EQUAL WEIGHT SELECT UCITS ETF,BNP Paribas Asset Management,IE000ALI2E45,USD,,70.14,USD,30/06/2026
BNP PARIBAS EASY ALPHA ENHANCED US UCITS ETF,BNP Paribas Asset Management,IE000V3AQGW3,USD,,42.45,USD,30/06/2026
BNP PARIBAS EASY MSCI ACWI MIN TE UCITS ETF,BNP Paribas Asset Management,IE000WQ5O293,USD,22.00,88.11,USD,30/06/2026
BNP PARIBAS EASY ESG ENHANCED JAPAN UCITS ETF,BNP Paribas Asset Management,IE000YARBD10,EUR,20.00,398.16,EUR,30/06/2026
BNP PARIBAS EASY MSCI USA SMALL CAP MIN TE UCITS ETF,BNP Paribas Asset Management,IE000ZME9TM4,USD,,112.76,USD,30/06/2026
BNP PARIBAS EASY MSCI EMERGING MIN TE,BNP Paribas Asset Management,LU1291097779,EUR,27.00,3924.34,EUR,30/06/2026
BNP PARIBAS EASY MSCI EMU MIN TE,BNP Paribas Asset Management,LU1291098827,EUR,15.00,1958.04,EUR,30/06/2026
BNP PARIBAS EASY MSCI EUROPE MIN TE,BNP Paribas Asset Management,LU1291099718,EUR,15.00,3925.41,EUR,30/06/2026
BNP PARIBAS EASY MSCI USA MIN TE,BNP Paribas Asset Management,LU1291104575,EUR,15.00,1580.29,EUR,30/06/2026
BNP PARIBAS EASY MSCI PACIFIC EX JAPAN MIN TE,BNP Paribas Asset Management,LU1291106356,EUR,15.00,517.15,EUR,30/06/2026
BNP PARIBAS EASY LOW CARBON 100 EUROPE PAB,BNP Paribas Asset Management,LU1377382368,EUR,30.00,458.67,EUR,30/06/2026
BNP PARIBAS EASY JPM SCREENED EMBI GLOBAL DIVERSIFIED COMPOSITE,BNP Paribas Asset Management,LU1547515053,USD,25.00,1300.50,USD,30/06/2026
BNP PARIBAS EASY MSCI WORLD SRI PAB,BNP Paribas Asset Management,LU1615092217,EUR,25.00,1573.41,EUR,30/06/2026
BNP PARIBAS EASY MSCI CHINA MIN TE,BNP Paribas Asset Management,LU2314312922,USD,26.00,135.27,USD,30/06/2026
BNP PARIBAS EASY EUR CORP BOND SRI FOSSIL FREE ULTRASHORT DURATION,BNP Paribas Asset Management,LU2533812058,EUR,10.00,142.48,EUR,30/06/2026
BNP PARIBAS EASY ECPI GLOBAL ESG HYDROGEN ECONOMY,BNP Paribas Asset Management,LU2533813023,USD,30.00,19.72,USD,30/06/2026
BNP PARIBAS EASY ECPI GLOBAL ESG BLUE ECONOMY,BNP Paribas Asset Management,LU2533813296,USD,30.00,100.93,USD,30/06/2026
BNP PARIBAS EASY USD CORP BOND SRI FOSSIL FREE,BNP Paribas Asset Management,LU2616774076,USD,20.00,68.30,USD,30/06/2026
BNP PARIBAS EASY ESG ENHANCED EUR CORP BOND,BNP Paribas Asset Management,LU2697596745,EUR,,95.97,EUR,30/06/2026
BNP PARIBAS EASY ESG ENHANCED EUR GOVERNMENT BOND,BNP Paribas Asset Management,LU2697597552,EUR,12.00,173.54,EUR,30/06/2026
BNP PARIBAS EASY EUR CORP BOND SRI PAB 7-10Y,BNP Paribas Asset Management,LU2742532828,EUR,15.00,38.06,EUR,30/06/2026
BNP PARIBAS EASY JPM TILTED EMU GOVERNMENT BOND IG 10Y+,BNP Paribas Asset Management,LU2742533636,EUR,15.00,43.64,EUR,30/06/2026
BNP PARIBAS EASY MSCI JAPAN MIN TE,BNP Paribas Asset Management,LU2800573128,USD,15.00,2669.20,USD,30/06/2026
BNP PARIBAS EASY ESG ENHANCED EUR CORP BOND DECEMBER 2032,BNP Paribas Asset Management,LU2823895847,EUR,12.00,45.85,EUR,30/06/2026
