ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
iMGP Italian Opportunities Fund R EUR UCITS ETF,iM Global Partner,LU3411931689,EUR,100.00,38.90,29/06/2026
iMGP DBi Managed Futures Fund R EUR HP UCITS ETF,iM Global Partner,LU3359622902,EUR,55.00,550.70,29/06/2026
iMGP DBi Managed Futures Fund R EUR UCITS ETF,iM Global Partner,LU2951555403,EUR,55.00,550.70,29/06/2026
iMGP DBi Managed Futures Fund R USD UCITS ETF,iM Global Partner,LU2951555585,USD,55.00,550.70,29/06/2026
iMGP Sirios Absolute Return Fund R EUR HP PR UCITS ETF,iM Global Partner,LU3334220699,EUR,100.00,8.70,29/06/2026
iMGP DBi Managed Futures ex-Commodities Fund R USD UCITS ETF,iM Global Partner,LU3024069877,USD,55.00,371.90,29/06/2026
iMGP European High Yield Fund R EUR UCITS ETF,iM Global Partner,LU3384730795,EUR,50.00,27.60,29/06/2026
